yahoo_player_id,yahoo_name,team_abbr,mlb_person_id,mlb_name,mlb_pos,notes
7296,Jeff Mathis,ATL,425772,Jeff Mathis,C,sfbb_playeridmap
7297,Gavin Floyd,TOR,425856,Gavin Floyd,P,sfbb_playeridmap
7304,Shawn Camp,N/A,425861,Shawn Camp,P,sfbb_playeridmap
7307,David Aardsma,N/A,430911,David Aardsma,P,sfbb_playeridmap
7310,Jason Frasor,N/A,430630,Jason Frasor,P,sfbb_playeridmap
7311,Matt Holliday,N/A,407812,Matt Holliday,OF,sfbb_playeridmap
7313,Andrés Blanco,N/A,433217,Andres Blanco,3B,sfbb_playeridmap
7322,Brad Hawpe,N/A,425547,Brad Hawpe,OF,sfbb_playeridmap
7327,Frank Francisco,N/A,407911,Frank Francisco,P,sfbb_playeridmap
7332,Mike Adams,N/A,430606,Mike Adams,P,sfbb_playeridmap
7333,Melvin Upton,N/A,425834,Melvin Upton,OF,sfbb_playeridmap
7336,Corey Hart,N/A,430611,Corey Hart,1B,sfbb_playeridmap
7345,Yadier Molina,STL,425877,Yadier Molina,C,sfbb_playeridmap
7350,Shawn Hill,N/A,429718,Shawn Hill,P,sfbb_playeridmap
7355,Matt Guerrier,N/A,407825,Matt Guerrier,P,sfbb_playeridmap
7365,Mark Teahen,N/A,433597,Mark Teahen,3B,sfbb_playeridmap
7369,Travis Blackley,N/A,429715,Travis Blackley,P,sfbb_playeridmap
7373,Josh Willingham,N/A,425545,Josh Willingham,OF,sfbb_playeridmap
7379,George Sherrill,N/A,430941,George Sherrill,P,sfbb_playeridmap
7380,Jorge Cantu,N/A,408305,Jorge Cantu,3B,sfbb_playeridmap
7381,Chad Qualls,N/A,430589,Chad Qualls,P,sfbb_playeridmap
7382,David Wright,N/A,431151,David Wright,3B,sfbb_playeridmap
7383,Jeff Francis,N/A,433585,Jeff Francis,P,sfbb_playeridmap
7386,John Maine,N/A,429720,John Maine,P,sfbb_playeridmap
7388,Jason Bartlett,N/A,430583,Jason Bartlett,SS,sfbb_playeridmap
7391,Scott Atchison,N/A,425786,Scott Atchison,P,sfbb_playeridmap
7392,Jose Lopez,N/A,430946,Jose Lopez,2B,sfbb_playeridmap
7401,Santiago Casilla,N/A,433586,Santiago Casilla,P,sfbb_playeridmap
7409,Chris Snyder,N/A,430965,Chris Snyder,C,sfbb_playeridmap
7411,Ian Snell,N/A,430636,Ian Snell,P,sfbb_playeridmap
