yahoo_player_id,yahoo_name,team_abbr,display_position,primary_position,eligible_positions
11470,Carlos Hernández,CLE,RP,RP,"RP,P,NA"
10966,Carter Kieboom,CLE,"1B,2B,3B",1B,"1B,2B,3B,IF,Util,NA"
11959,Codi Heuer,CLE,RP,RP,"RP,P,NA"
12616,Colin Holderman,CLE,RP,RP,"RP,P"
11955,Connor Brogdon,CLE,RP,RP,"RP,P"
11753,Daniel Espino,CLE,SP,SP,"SP,P"
61948,Daniel Schneemann,CLE,"2B,3B,SS,CF,RF",2B,"2B,3B,SS,IF,CF,RF,OF,Util"
61262,David Fry,CLE,"C,1B,LF,RF",C,"C,1B,IF,LF,RF,OF,Util"
10650,Dom Nuñez,CLE,C,C,"C,Util,NA"
12403,Doug Nikhazy,CLE,SP,SP,"SP,P,NA"
63091,Erik Sabrowski,CLE,RP,RP,"RP,P"
61927,Franco Aleman,CLE,RP,RP,"RP,P"
11524,Gabriel Arias,CLE,"2B,3B,SS",2B,"2B,3B,SS,IF,Util"
12401,Gavin Williams,CLE,SP,SP,"SP,P"
11298,George Valera,CLE,"LF,RF",LF,"LF,RF,OF,Util"
12665,Hunter Gaddis,CLE,RP,RP,"RP,P"
11823,Joey Cantillo,CLE,"SP,RP",SP,"SP,RP,P"
61828,Johnathan Rodríguez,CLE,RF,RF,"RF,OF,Util,NA"
12734,Juan Brito,CLE,"2B,3B,SS,RF",2B,"2B,3B,SS,IF,RF,OF,Util"
60411,Kyle Manzardo,CLE,1B,1B,"1B,IF,Util"
60139,Logan Allen,CLE,SP,SP,"SP,P"
12699,Luis L. Ortiz,CLE,"SP,RP",SP,"SP,RP,P,NA"
10463,Nolan Jones,CLE,"LF,CF,RF",LF,"LF,CF,RF,OF,Util"
60042,Parker Messick,CLE,SP,SP,"SP,P"
12404,Petey Halpin,CLE,CF,CF,"CF,OF,Util"
12118,Slade Cecconi,CLE,"SP,RP",SP,"SP,RP,P"
11289,Stuart Fairchild,CLE,"LF,CF,RF",LF,"LF,CF,RF,OF,Util,NA"
60137,Tanner Bibee,CLE,SP,SP,"SP,P"
12733,Tim Herrin,CLE,RP,RP,"RP,P"
12411,Adael Amador,COL,2B,2B,"2B,IF,Util,NA"
11599,Austin Nola,COL,C,C,"C,Util,NA"
61593,Blaine Crim,COL,1B,1B,"1B,IF,Util"
60687,Braxton Fulford,COL,C,C,"C,Util"
12661,Brennan Bernardino,COL,"SP,RP",SP,"SP,RP,P"
12136,Brenton Doyle,COL,CF,CF,"CF,OF,Util"
12063,Brett Sullivan,COL,C,C,"C,Util,NA"
60152,Carson Palmquist,COL,SP,SP,"SP,P,NA"
62197,Chad Stevens,COL,2B,2B,"2B,IF,Util,NA"
62975,Chase Dollander,COL,SP,SP,"SP,P"
61269,Drew Avans,COL,"CF,RF",CF,"CF,RF,OF,Util,NA"
61935,Dugan Darnell,COL,RP,RP,"RP,P,IL"
12729,Edouard Julien,COL,"1B,2B",1B,"1B,2B,IF,Util"
64866,Eiberson Castellano,COL,SP,SP,"SP,P,NA"
63338,Evan Justice,COL,RP,RP,"RP,P,NA"
12322,Ezequiel Tovar,COL,SS,SS,"SS,IF,Util"
12409,Hunter Goodman,COL,"C,LF,RF",C,"C,LF,RF,OF,Util"
12407,Jaden Hill,COL,RP,RP,"RP,P"
12163,Jeff Criswell,COL,RP,RP,"RP,P,IL"
60147,Jordan Beck,COL,"LF,RF",LF,"LF,RF,OF,Util"
63479,Juan Mejia,COL,RP,RP,"RP,P"
62831,Kyle Karros,COL,3B,3B,"3B,IF,Util"
12001,Kyle McCann,COL,C,C,"C,Util,NA"
12103,Lucas Gilbreath,COL,RP,RP,"RP,P,NA"
64787,Luis Peralta,COL,RP,RP,"RP,P,NA"
66363,McCade Brown,COL,SP,SP,"SP,P"
1000005,Michael Lorenzen (Batter),COL,CF,CF,"CF,OF,Util"
10557,Mickey Moniak,COL,"LF,CF,RF",LF,"LF,CF,RF,OF,Util"
11321,Nicky Lopez,COL,"2B,3B,SS",2B,"2B,3B,SS,IF,Util,NA"
65272,Pierson Ohl,COL,"SP,RP",SP,"SP,RP,P"
11804,Roansy Contreras,COL,"SP,RP",SP,"SP,RP,P,NA"
12265,Ryan Feltner,COL,SP,SP,"SP,P,IL"
60154,Ryan Ritter,COL,"2B,SS",2B,"2B,SS,IF,Util"
12639,Sean Bouchard,COL,"LF,RF",LF,"LF,RF,OF,Util,NA"
63214,Seth Halvorsen,COL,RP,RP,"RP,P"
63288,Tanner Gordon,COL,SP,SP,"SP,P,NA"
64895,Tomoyuki Sugano,COL,SP,SP,"SP,P"
60622,Troy Johnston,COL,"1B,LF,RF",1B,"1B,IF,LF,RF,OF,Util"
11754,Tyler Freeman,COL,"2B,SS,CF,RF",2B,"2B,SS,IF,CF,RF,OF,Util"
64300,Valente Bellozo,COL,"SP,RP",SP,"SP,RP,P,NA"
12368,Victor Vodnik,COL,RP,RP,"RP,P"
11716,Vimael Machín,COL,3B,3B,"3B,IF,Util,NA"
12133,Zac Veen,COL,"LF,RF",LF,"LF,RF,OF,Util"
64286,Zach Agnos,COL,RP,RP,"RP,P"
11074,Bobby Dalbec,CWS,"1B,3B",1B,"1B,3B,IF,Util,NA"
60711,Brandon Eisert,CWS,"SP,RP",SP,"SP,RP,P"
63544,Brooks Baldwin,CWS,"2B,3B,SS,LF,CF,RF",2B,"2B,3B,SS,IF,LF,CF,RF,OF,Util"
62504,Chase Meidroth,CWS,"2B,3B,SS",2B,"2B,3B,SS,IF,Util"
12376,Chris Murphy,CWS,RP,RP,"RP,P"
12413,Colson Montgomery,CWS,"3B,SS",3B,"3B,SS,IF,Util"
12558,Curtis Mead,CWS,"1B,2B,3B",1B,"1B,2B,3B,IF,Util"
61820,Darren Baker,CWS,2B,2B,"2B,IF,Util,NA"
12617,Davis Martin,CWS,SP,SP,"SP,P"
12134,Drew Romo,CWS,C,C,"C,Util,NA"
60297,Drew Thorpe,CWS,SP,SP,"SP,P,IL"
12567,Dustin Harris,CWS,"3B,LF,CF",3B,"3B,IF,LF,CF,OF,Util,NA"
12457,Edgar Quero,CWS,C,C,"C,Util"
12254,Elvis Peguero,CWS,RP,RP,"RP,P,NA"
11508,Everson Pereira,CWS,"LF,CF",LF,"LF,CF,OF,Util"
60627,Fraser Ellard,CWS,"SP,RP",SP,"SP,RP,P,NA"
63027,Grant Taylor,CWS,"SP,RP",SP,"SP,RP,P"
60350,Jairo Iriarte,CWS,RP,RP,"RP,P,NA"
63999,Jake Palisch,CWS,RP,RP,"RP,P,NA"
60159,Jonathan Cannon,CWS,"SP,RP",SP,"SP,RP,P,NA"
62085,Jordan Leasure,CWS,RP,RP,"RP,P"
11999,Joshua Palacios,CWS,"LF,CF,RF",LF,"LF,CF,RF,OF,Util,NA"
60305,Juan Carela,CWS,SP,SP,"SP,P,NA"
11767,Korey Lee,CWS,C,C,"C,Util"
12453,Ky Bush,CWS,SP,SP,"SP,P,IL"
62979,Kyle Teel,CWS,C,C,"C,Util"
12420,Lenyn Sosa,CWS,"1B,2B,3B",1B,"1B,2B,3B,IF,Util"
11878,Luisangel Acuña,CWS,"2B,SS",2B,"2B,SS,IF,Util"
11781,Miguel Vargas,CWS,"1B,3B,LF",1B,"1B,3B,IF,LF,OF,Util"
60281,Mike Vasil,CWS,"SP,RP",SP,"SP,RP,P"
11814,Nick Maton,CWS,3B,3B,"3B,IF,Util,NA"
62212,Oliver Dunn,CWS,3B,3B,"3B,IF,Util,NA"
12778,Oscar Colás,CWS,"CF,RF",CF,"CF,RF,OF,Util,NA"
11403,Owen White,CWS,RP,RP,"RP,P,NA"
12603,Penn Murfee,CWS,RP,RP,"RP,P,NA"
12709,Prelander Berroa,CWS,RP,RP,"RP,P,IL"
12418,Sean Burke,CWS,"SP,RP",SP,"SP,RP,P"
63967,Shane Smith,CWS,"SP,RP",SP,"SP,RP,P"
62464,Tim Elko,CWS,1B,1B,"1B,IF,Util,NA"
60421,Tristan Peters,CWS,CF,CF,"CF,OF,Util"
12242,Tyler Gilbert,CWS,"SP,RP",SP,"SP,RP,P"
11698,Tyson Miller,CWS,RP,RP,"RP,P,NA"
12377,Wikelman González,CWS,"SP,RP",SP,"SP,RP,P,NA"
11986,Zach DeLoach,CWS,"LF,RF",LF,"LF,RF,OF,Util,NA"
61324,Bailey Horn,DET,RP,RP,"RP,P"
12604,Beau Brieske,DET,"SP,RP",SP,"SP,RP,P,IL"
60178,Brant Hurter,DET,"SP,RP",SP,"SP,RP,P"
11427,Brenan Hanifee,DET,"SP,RP",SP,"SP,RP,P"
